Date,Time,Time Between Videos,Video ID,
9/3/24,22:55:39,0:00:33,7410163254460222750,
9/3/24,22:56:12,0:11:45,7409479956566281518,
9/3/24,23:07:57,0:00:21,7409013390288358702,
9/3/24,23:08:18,0:00:27,7409825190521359662,
9/3/24,23:08:45,0:00:05,7406540486669896990,
9/3/24,23:08:50,0:00:00,7407146411470458154,
9/3/24,23:08:50,0:00:05,7400051002663128337,
9/3/24,23:08:55,0:00:20,7409851258821086510,
9/3/24,23:09:15,0:00:16,7410061118581919019,
9/3/24,23:09:31,0:00:11,7409848416869600518,
9/3/24,23:09:42,0:00:01,7390043632105049361,
9/3/24,23:09:43,0:00:06,7407076618927181102,
9/3/24,23:09:49,0:01:06,7409886976171691294,
9/3/24,23:10:55,0:00:04,7410166244243967263,
9/3/24,23:10:59,0:00:07,7409688450053573931,
9/3/24,23:11:06,0:00:03,7399998123491200288,
9/3/24,23:11:09,0:00:01,7395401366417542430,
9/3/24,23:11:10,0:00:05,7410455336450100510,
9/3/24,23:11:15,0:00:16,7410272576158698795,
9/3/24,23:11:31,0:00:03,7407137846760459551,
9/3/24,23:11:34,0:00:05,7409884853061127454,
9/3/24,23:11:39,0:00:20,7399459336923122975,
9/3/24,23:11:59,0:00:01,7407542446877445392,
9/3/24,23:12:00,0:00:06,7406363347563695406,
9/3/24,23:12:06,0:24:37,7407774384045231392,
9/3/24,23:36:43,0:00:04,7403424949257473310,
9/3/24,23:36:47,0:00:25,7409758352835775790,
9/3/24,23:37:12,0:00:15,7406895880764165418,
9/3/24,23:37:27,0:00:02,7296853597361327403,
9/3/24,23:37:29,0:00:10,7402901786773998881,
9/3/24,23:37:39,0:00:28,7410159065818615082,
9/3/24,23:38:07,0:00:21,7404400919372107016,
9/3/24,23:38:28,0:00:04,7398529249990249760,
9/3/24,23:38:32,0:00:07,7405591730210213151,
9/3/24,23:38:39,0:00:01,7408594801991404801,
9/3/24,23:38:40,0:00:04,7404961303942417706,
9/3/24,23:38:44,0:00:02,7408222446165282078,
9/3/24,23:38:46,0:00:08,7409477525010648351,
9/3/24,23:38:54,0:00:12,7410115385095146784,
9/3/24,23:39:06,,7410239067205405983,
9/4/24,2:59:11,0:00:17,7409663979859103009,
9/4/24,2:59:28,0:00:04,7409270009169562912,
9/4/24,2:59:32,0:00:13,7409385777366404398,
9/4/24,2:59:45,0:00:02,7407292492623695121,
9/4/24,2:59:47,0:00:10,7407527700023250219,
9/4/24,2:59:57,0:00:04,7410550553169644843,
9/4/24,3:00:01,0:00:04,7387835622225988880,
9/4/24,3:00:05,0:00:29,7410394858424110368,
9/4/24,3:00:34,0:00:19,7400868061353430305,
9/4/24,3:00:53,0:00:12,7408367471528348934,
9/4/24,3:01:05,0:00:03,7379596728015621418,
9/4/24,3:01:08,0:00:09,7408724133669883166,
9/4/24,3:01:17,0:00:09,7407400945325329697,
9/4/24,3:01:26,0:00:07,7408603088010890542,
9/4/24,3:01:33,0:00:15,7394616252255178015,
9/4/24,3:01:48,0:00:02,7410581506634157354,
9/4/24,3:01:50,0:00:04,7410518813021637930,
9/4/24,3:01:54,0:00:03,7408721907803114798,
9/4/24,3:01:57,0:00:24,7410446580370705707,
9/4/24,3:02:21,0:00:01,7408643996739800336,
9/4/24,3:02:22,0:00:27,7409130905102503174,
9/4/24,3:02:49,0:00:10,7381281396607749407,
